11:48:05 | INFO | [default] τ=0.95 λ=1.0 | Epoch   1/100 | Loss: 3.6322 (sup:3.5289 unsup:0.1033) | Val: 41.33% | Test: 42.13% | Mask: 0.240
11:48:14 | INFO | [default] τ=0.95 λ=1.0 | Epoch   2/100 | Loss: 1.2073 (sup:1.2037 unsup:0.0036) | Val: 43.67% | Test: 45.60% | Mask: 0.014
11:48:24 | INFO | [default] τ=0.95 λ=1.0 | Epoch   3/100 | Loss: 1.2169 (sup:1.2130 unsup:0.0039) | Val: 43.67% | Test: 42.73% | Mask: 0.021
11:48:33 | INFO | [default] τ=0.95 λ=1.0 | Epoch   4/100 | Loss: 1.1175 (sup:1.1128 unsup:0.0047) | Val: 45.33% | Test: 48.47% | Mask: 0.020
11:48:42 | INFO | [default] τ=0.95 λ=1.0 | Epoch   5/100 | Loss: 1.1279 (sup:1.1237 unsup:0.0042) | Val: 49.00% | Test: 49.80% | Mask: 0.024
11:48:52 | INFO | [default] τ=0.95 λ=1.0 | Epoch   6/100 | Loss: 0.9897 (sup:0.9864 unsup:0.0034) | Val: 50.67% | Test: 54.27% | Mask: 0.017
11:49:01 | INFO | [default] τ=0.95 λ=1.0 | Epoch   7/100 | Loss: 0.8658 (sup:0.8612 unsup:0.0047) | Val: 51.33% | Test: 48.90% | Mask: 0.018
11:49:11 | INFO | [default] τ=0.95 λ=1.0 | Epoch   8/100 | Loss: 0.9003 (sup:0.8933 unsup:0.0070) | Val: 53.33% | Test: 55.80% | Mask: 0.021
11:49:20 | INFO | [default] τ=0.95 λ=1.0 | Epoch   9/100 | Loss: 0.8680 (sup:0.8585 unsup:0.0095) | Val: 51.33% | Test: 51.83% | Mask: 0.023
11:49:29 | INFO | [default] τ=0.95 λ=1.0 | Epoch  10/100 | Loss: 0.8007 (sup:0.7812 unsup:0.0194) | Val: 54.00% | Test: 54.13% | Mask: 0.040
11:49:38 | INFO | [default] τ=0.95 λ=1.0 | Epoch  11/100 | Loss: 0.8798 (sup:0.8663 unsup:0.0135) | Val: 55.33% | Test: 54.90% | Mask: 0.033
11:49:47 | INFO | [default] τ=0.95 λ=1.0 | Epoch  12/100 | Loss: 0.7723 (sup:0.7560 unsup:0.0163) | Val: 57.33% | Test: 52.90% | Mask: 0.042
11:49:56 | INFO | [default] τ=0.95 λ=1.0 | Epoch  13/100 | Loss: 0.7379 (sup:0.7151 unsup:0.0228) | Val: 56.00% | Test: 54.87% | Mask: 0.052
