noise,snr,denoise,model,accuracy
factory,-10,facebook,linear,0.7725
factory,-10,facebook,conv,0.5
factory,-10,facebook,lstm,0.8125
factory,-10,voicefixer,linear,0.7875
factory,-10,voicefixer,conv,0.75
factory,-10,voicefixer,lstm,0.7125
factory,-5,facebook,linear,0.7
factory,-5,facebook,conv,0.525
factory,-5,facebook,lstm,0.8
factory,-5,voicefixer,linear,0.8
factory,-5,voicefixer,conv,0.512
factory,-5,voicefixer,lstm,0.675
factory,0,facebook,linear,0.7125
factory,0,facebook,conv,0.7125
factory,0,facebook,lstm,0.8875
factory,0,voicefixer,linear,0.8375
factory,0,voicefixer,conv,0.6125
factory,0,voicefixer,lstm,0.6375
machine_gun,-10,facebook,linear,0.65
machine_gun,-10,facebook,conv,0.8625
machine_gun,-10,facebook,lstm,0.825
machine_gun,-10,voicefixer,linear,0.7125
machine_gun,-10,voicefixer,conv,0.5
machine_gun,-10,voicefixer,lstm,0.7
machine_gun,-5,facebook,linear,0.725
machine_gun,-5,facebook,conv,0.7875
machine_gun,-5,facebook,lstm,0.875
machine_gun,-5,voicefixer,linear,0.8375
machine_gun,-5,voicefixer,conv,0.612
machine_gun,-5,voicefixer,lstm,0.7875
machine_gun,0,facebook,linear,0.5875
machine_gun,0,facebook,conv,0.7625
machine_gun,0,facebook,lstm,0.8625
machine_gun,0,voicefixer,linear,0.7
machine_gun,0,voicefixer,conv,0.5
machine_gun,0,voicefixer,lstm,0.7625
pink,-10,facebook,linear,0.7125
pink,-10,facebook,conv,0.6375
pink,-10,facebook,lstm,0.7875
pink,-10,voicefixer,linear,0.7375
pink,-10,voicefixer,conv,0.5
pink,-10,voicefixer,lstm,0.5625
pink,-5,facebook,linear,0.7875
pink,-5,facebook,conv,0.725
pink,-5,facebook,lstm,0.8375
pink,-5,voicefixer,linear,0.85
pink,-5,voicefixer,conv,0.5
pink,-5,voicefixer,lstm,0.675
pink,0,facebook,linear,0.5
pink,0,facebook,conv,0.775
pink,0,facebook,lstm,0.75
pink,0,voicefixer,linear,0.8
pink,0,voicefixer,conv,0.5
pink,0,voicefixer,lstm,0.575
speech_babble,-10,facebook,linear,0.575
speech_babble,-10,facebook,conv,0.75
speech_babble,-10,facebook,lstm,0.775
speech_babble,-10,voicefixer,linear,0.6875
speech_babble,-10,voicefixer,conv,0.51
speech_babble,-10,voicefixer,lstm,0.65
speech_babble,-5,facebook,linear,0.775
speech_babble,-5,facebook,conv,0.7375
speech_babble,-5,facebook,lstm,0.6875
speech_babble,-5,voicefixer,linear,0.7875
speech_babble,-5,voicefixer,conv,0.5
speech_babble,-5,voicefixer,lstm,0.6375
speech_babble,0,facebook,linear,0.75
speech_babble,0,facebook,conv,0.625
speech_babble,0,facebook,lstm,0.7625
speech_babble,0,voicefixer,linear,0.7875
speech_babble,0,voicefixer,conv,0.6
speech_babble,0,voicefixer,lstm,0.525
white,-10,facebook,linear,0.8
white,-10,facebook,conv,0.7375
white,-10,facebook,lstm,0.8375
white,-10,voicefixer,linear,0.8
white,-10,voicefixer,conv,0.5
white,-10,voicefixer,lstm,0.6625
white,-5,facebook,linear,0.562
white,-5,facebook,conv,0.7625
white,-5,facebook,lstm,0.7
white,-5,voicefixer,linear,0.8375
white,-5,voicefixer,conv,0.5
white,-5,voicefixer,lstm,0.475
white,0,facebook,linear,0.775
white,0,facebook,conv,0.7
white,0,facebook,lstm,0.7375
white,0,voicefixer,linear,0.775
white,0,voicefixer,conv,0.725
white,0,voicefixer,lstm,0.575
