noise,snr,denoise,model,accuracy
factory,-10,specsub,linear,0.5
factory,-10,specsub,conv,0.8375
factory,-10,specsub,lstm,0.8625
factory,-10,wiener,linear,0.7375
factory,-10,wiener,conv,0.8625
factory,-10,wiener,lstm,0.875
factory,-10,mmse,linear,0.675
factory,-10,mmse,conv,0.8625
factory,-10,mmse,lstm,0.875
factory,-5,specsub,linear,0.7375
factory,-5,specsub,conv,0.85
factory,-5,specsub,lstm,0.8625
factory,-5,wiener,linear,0.525
factory,-5,wiener,conv,0.8625
factory,-5,wiener,lstm,0.875
factory,-5,mmse,linear,0.7875
factory,-5,mmse,conv,0.825
factory,-5,mmse,lstm,0.875
factory,0,specsub,linear,0.85
factory,0,specsub,conv,0.8375
factory,0,specsub,lstm,0.8375
factory,0,wiener,linear,0.625
factory,0,wiener,conv,0.825
factory,0,wiener,lstm,0.8375
factory,0,mmse,linear,0.8125
factory,0,mmse,conv,0.8375
factory,0,mmse,lstm,0.8625
machine_gun,-10,specsub,linear,0.5
machine_gun,-10,specsub,conv,0.8
machine_gun,-10,specsub,lstm,0.8375
machine_gun,-10,wiener,linear,0.5625
machine_gun,-10,wiener,conv,0.85
machine_gun,-10,wiener,lstm,0.825
machine_gun,-10,mmse,linear,0.7625
machine_gun,-10,mmse,conv,0.85
machine_gun,-10,mmse,lstm,0.825
machine_gun,-5,specsub,linear,0.7375
machine_gun,-5,specsub,conv,0.8625
machine_gun,-5,specsub,lstm,0.85
machine_gun,-5,wiener,linear,0.6
machine_gun,-5,wiener,conv,0.825
machine_gun,-5,wiener,lstm,0.825
machine_gun,-5,mmse,linear,0.6
machine_gun,-5,mmse,conv,0.825
machine_gun,-5,mmse,lstm,0.8375
machine_gun,0,specsub,linear,0.7875
machine_gun,0,specsub,conv,0.8125
machine_gun,0,specsub,lstm,0.825
machine_gun,0,wiener,linear,0.7
machine_gun,0,wiener,conv,0.85
machine_gun,0,wiener,lstm,0.8
machine_gun,0,mmse,linear,0.725
machine_gun,0,mmse,conv,0.8375
machine_gun,0,mmse,lstm,0.825
pink,-10,specsub,linear,0.75
pink,-10,specsub,conv,0.8375
pink,-10,specsub,lstm,0.8875
pink,-10,wiener,linear,0.6875
pink,-10,wiener,conv,0.85
pink,-10,wiener,lstm,0.85
pink,-10,mmse,linear,0.625
pink,-10,mmse,conv,0.8375
pink,-10,mmse,lstm,0.8375
pink,-5,specsub,linear,0.7375
pink,-5,specsub,conv,0.8375
pink,-5,specsub,lstm,0.85
pink,-5,wiener,linear,0.7375
pink,-5,wiener,conv,0.85
pink,-5,wiener,lstm,0.8625
pink,-5,mmse,linear,0.7375
pink,-5,mmse,conv,0.8625
pink,-5,mmse,lstm,0.875
pink,0,specsub,linear,0.525
pink,0,specsub,conv,0.825
pink,0,specsub,lstm,0.85
pink,0,wiener,linear,0.5875
pink,0,wiener,conv,0.825
pink,0,wiener,lstm,0.8625
pink,0,mmse,linear,0.9125
pink,0,mmse,conv,0.85
pink,0,mmse,lstm,0.85
speech_babble,-10,specsub,linear,0.5
speech_babble,-10,specsub,conv,0.8625
speech_babble,-10,specsub,lstm,0.825
speech_babble,-10,wiener,linear,0.825
speech_babble,-10,wiener,conv,0.825
speech_babble,-10,wiener,lstm,0.825
speech_babble,-10,mmse,linear,0.7625
speech_babble,-10,mmse,conv,0.8375
speech_babble,-10,mmse,lstm,0.8625
speech_babble,-5,specsub,linear,0.75
speech_babble,-5,specsub,conv,0.6875
speech_babble,-5,specsub,lstm,0.825
speech_babble,-5,wiener,linear,0.875
speech_babble,-5,wiener,conv,0.8125
speech_babble,-5,wiener,lstm,0.85
speech_babble,-5,mmse,linear,0.7
speech_babble,-5,mmse,conv,0.8125
speech_babble,-5,mmse,lstm,0.85
speech_babble,0,specsub,linear,0.5
speech_babble,0,specsub,conv,0.725
speech_babble,0,specsub,lstm,0.85
speech_babble,0,wiener,linear,0.8125
speech_babble,0,wiener,conv,0.8
speech_babble,0,wiener,lstm,0.825
speech_babble,0,mmse,linear,0.7125
speech_babble,0,mmse,conv,0.8125
speech_babble,0,mmse,lstm,0.8
white,-10,specsub,linear,0.825
white,-10,specsub,conv,0.825
white,-10,specsub,lstm,0.8875
white,-10,wiener,linear,0.85
white,-10,wiener,conv,0.825
white,-10,wiener,lstm,0.8625
white,-10,mmse,linear,0.6
white,-10,mmse,conv,0.85
white,-10,mmse,lstm,0.8625
white,-5,specsub,linear,0.775
white,-5,specsub,conv,0.825
white,-5,specsub,lstm,0.8625
white,-5,wiener,linear,0.8375
white,-5,wiener,conv,0.85
white,-5,wiener,lstm,0.8375
white,-5,mmse,linear,0.5375
white,-5,mmse,conv,0.85
white,-5,mmse,lstm,0.8625
white,0,specsub,linear,0.825
white,0,specsub,conv,0.8375
white,0,specsub,lstm,0.8625
white,0,wiener,linear,0.8125
white,0,wiener,conv,0.8375
white,0,wiener,lstm,0.8625
white,0,mmse,linear,0.85
white,0,mmse,conv,0.85
white,0,mmse,lstm,0.8625
